group,mean_delta,std_delta,sem,ci_low,ci_high,t_stat,p_value,cohens_d
overall,-0.022000000000000006,0.10971036248396791,0.010971036248396791,-0.04376891610053797,-0.00023108389946204302,-2.005280039359535,0.04766272390889317,-0.20052800393595352
skill 1,-0.085,0.169441808051583,0.037888340103381074,-0.16430120721797958,-0.005698792782020429,-2.243434253600748,0.036983465442223626,-0.5016471494102774
skill 2,0.0,0.0,0.0,,,,,
skill 3,-0.025000000000000022,0.16819474927657682,0.03760948928409593,-0.10371756574562432,0.05371756574562428,-0.6647258571142541,0.5142136570579134,-0.1486372202909284
skill 4,0.0,0.0,0.0,,,,,
skill 5,0.0,0.0,0.0,,,,,
Entw.,0.0,0.0,0.0,,,,,
SCRUM,-0.08800000000000002,0.208806130178211,0.0417612260356422,-0.1741909343467848,-0.0018090656532152721,-2.107217827486533,0.04573415102337241,-0.4214435654973067
Sr. Lead,0.0,0.0,0.0,,,,,
Team L.,0.0,0.0,0.0,,,,,
