group,mean_delta,std_delta,sem,ci_low,ci_high,t_stat,p_value,cohens_d
overall,-0.0968,0.22648780822094436,0.022648780822094434,-0.14174009483996514,-0.05185990516003487,-4.273960738123671,4.4232312848333684e-05,-0.42739607381236716
skill 1,-0.19249999999999995,0.26865895030493103,0.06007396756455636,-0.31823625915636095,-0.06676374084363895,-3.2043829932347427,0.00466809129039461,-0.7165218198817133
skill 2,-0.0814999999999999,0.23731557936748768,0.0530653767585449,-0.192567110011874,0.029567110011874176,-1.5358413522782781,0.14106286428338,-0.34342456663494314
skill 3,-0.0700000000000001,0.2735728518386974,0.06117274935098057,-0.1980360358658927,0.058036035865892496,-1.1443003746385978,0.2667108888512979,-0.2558733424370381
skill 4,-0.07999999999999996,0.2092593455122388,0.046791812149248144,-0.17793638837773126,0.017936388377731344,-1.7097008285302195,0.10360315910662712,-0.3823007273781283
skill 5,-0.06000000000000001,0.08825799501580874,0.019735087641318594,-0.10130601314913595,-0.018693986850864062,-3.0402702582571925,0.006732890542138646,-0.6798250967433923
Entw.,-0.13120000000000007,0.26497358358900613,0.052994716717801225,-0.24057571960775465,-0.021824280392245488,-2.475718489045706,0.02074356892131094,-0.4951436978091412
SCRUM,-0.07999999999999988,0.21602468994692867,0.04320493798938573,-0.16917060937152106,0.009170609371521324,-1.8516401995451002,0.07642007586383937,-0.37032803990902
Sr. Lead,-0.06000000000000003,0.1825741858350553,0.03651483716701106,-0.1353629199070757,0.015362919907075619,-1.6431676725155,0.11338696479136659,-0.32863353450309996
Team L.,-0.11599999999999998,0.24097026095903754,0.04819405219180751,-0.21546763499769744,-0.016532365002302513,-2.4069360164679985,0.02414029918239209,-0.48138720329359974
